,Date,HomeTeam,AwayTeam,GoalsHomeTeam,GoalsAwayTeam
0,07/08/10,Auxerre,Lorient,2,2
1,07/08/10,Lens,Nancy,1,2
2,07/08/10,Lyon,Monaco,0,0
3,07/08/10,Marseille,Caen,1,2
4,07/08/10,Nice,Valenciennes,0,0
5,07/08/10,Paris SG,St Etienne,3,1
6,07/08/10,Rennes,Lille,1,1
7,07/08/10,Sochaux,Arles,2,1
8,07/08/10,Toulouse,Brest,2,0
9,08/08/10,Montpellier,Bordeaux,1,0
10,14/08/10,Arles,Lens,0,1
11,15/08/10,Bordeaux,Toulouse,1,2
12,14/08/10,Brest,Auxerre,1,1
13,15/08/10,Caen,Lyon,3,2
14,15/08/10,Lille,Paris SG,0,0
15,14/08/10,Lorient,Nice,1,2
16,14/08/10,Nancy,Rennes,0,3
17,14/08/10,St Etienne,Sochaux,3,2
18,14/08/10,Valenciennes,Marseille,3,2
19,17/08/10,Monaco,Montpellier,0,0
20,21/08/10,Auxerre,Valenciennes,1,1
21,21/08/10,Lens,Monaco,2,2
22,21/08/10,Lyon,Brest,1,0
23,21/08/10,Marseille,Lorient,2,0
24,21/08/10,Nice,Nancy,1,1
25,21/08/10,Rennes,St Etienne,0,0
26,21/08/10,Toulouse,Arles,2,1
27,22/08/10,Montpellier,Caen,0,0
28,22/08/10,Paris SG,Bordeaux,1,2
29,22/08/10,Sochaux,Lille,0,0
30,28/08/10,Arles,Rennes,0,1
31,28/08/10,Caen,Brest,0,2
32,28/08/10,Lorient,Lyon,2,0
33,28/08/10,Nancy,Toulouse,0,2
34,28/08/10,St Etienne,Lens,3,1
35,28/08/10,Valenciennes,Montpellier,0,1
36,29/08/10,Bordeaux,Marseille,1,1
37,29/08/10,Lille,Nice,1,1
38,29/08/10,Monaco,Auxerre,2,0
39,29/08/10,Sochaux,Paris SG,3,1
40,11/09/10,Auxerre,Caen,1,1
41,11/09/10,Lens,Lille,1,4
42,11/09/10,Lyon,Valenciennes,1,1
43,11/09/10,Montpellier,Nancy,1,2
44,11/09/10,Paris SG,Arles,4,0
45,11/09/10,Rennes,Sochaux,2,1
46,11/09/10,Toulouse,St Etienne,0,1
