date,produit_id,quantite_vendue,prix_unitaire,montant_total
2023-07-01,10,9,690.97,6218.7300000000005
2023-07-01,96,9,669.79,6028.11
2023-07-01,87,1,128.29,128.29
2023-07-01,73,8,66.64,533.12
2023-07-01,6,9,832.16,7489.44
2023-07-01,1,5,620.21,3101.05
2023-07-01,42,6,514.3,3085.7999999999997
2023-07-01,103,9,276.11,2484.9900000000002
2023-07-01,50,7,891.34,6239.38
2023-07-01,81,10,860.02,8600.2
2023-07-01,67,5,46.54,232.7
2023-07-01,7,6,951.34,5708.04
2023-07-01,59,2,152.23,304.46
2023-07-01,36,8,683.51,5468.08
2023-07-01,20,10,293.45,2934.5
2023-07-01,84,7,446.93,3128.51
2023-07-01,62,4,978.15,3912.6
2023-07-01,71,3,370.69,1112.07
2023-07-01,15,3,898.16,2694.48
2023-07-01,102,7,436.37,3054.59
2023-07-01,69,2,616.83,1233.66
2023-07-01,89,5,789.29,3946.45
2023-07-01,4,2,469.94,939.88
2023-07-01,51,4,750.63,3002.52
2023-07-01,3,5,201.96,1009.8000000000001
2023-07-01,72,8,547.54,4380.32
2023-07-01,41,3,195.34,586.02
2023-07-01,94,6,434.39,2606.34
2023-07-01,14,5,401.77,2008.85
2023-07-01,66,8,421.3,3370.4
2023-07-01,58,9,438.19,3943.71
2023-07-01,29,4,356.09,1424.36
2023-07-01,9,6,325.17,1951.02
2023-07-01,84,9,446.93,4022.37
2023-07-01,68,7,733.32,5133.240000000001
2023-07-01,23,4,555.48,2221.92
2023-07-01,44,3,236.52,709.5600000000001
2023-07-01,64,8,719.57,5756.56
2023-07-01,72,9,547.54,4927.86
2023-07-01,99,7,934.2,6539.400000000001
2023-07-01,59,5,152.23,761.15
2023-07-01,86,8,560.99,4487.92
2023-07-01,79,2,842.18,1684.36
2023-07-01,28,8,416.0,3328.0
2023-07-01,102,6,436.37,2618.2200000000003
2023-07-01,77,9,500.37,4503.33
2023-07-01,13,6,884.87,5309.22
2023-07-01,71,1,370.69,370.69
2023-07-01,54,10,13.01,130.1
2023-07-01,104,7,748.03,5236.21
2023-07-01,92,8,969.22,7753.76
2023-07-01,1,4,620.21,2480.84
2023-07-01,55,7,520.75,3645.25
2023-07-01,34,8,96.63,773.04
2023-07-01,70,3,820.08,2460.2400000000002
2023-07-01,62,2,978.15,1956.3
2023-07-01,82,10,384.86,3848.6000000000004
2023-07-01,67,9,46.54,418.86
2023-07-01,42,1,514.3,514.3
2023-07-01,13,5,884.87,4424.35
2023-07-01,96,2,669.79,1339.58
2023-07-01,56,7,283.81,1986.67
2023-07-01,72,1,547.54,547.54
2023-07-01,64,8,719.57,5756.56
2023-07-01,30,4,989.05,3956.2
2023-07-01,21,6,524.23,3145.38
2023-07-01,16,8,399.38,3195.04
2023-07-01,103,4,276.11,1104.44
2023-07-01,14,10,401.77,4017.7
2023-07-01,12,4,313.23,1252.92
2023-07-01,105,6,982.1,5892.6
2023-07-01,90,10,129.01,1290.1
2023-07-01,38,7,274.3,1920.1000000000001
2023-07-01,39,6,694.49,4166.9400000000005
2023-07-01,37,3,56.42,169.26
2023-07-01,23,5,555.48,2777.4
2023-07-01,53,8,97.21,777.68
2023-07-01,54,10,13.01,130.1
2023-07-01,99,9,934.2,8407.800000000001
2023-07-01,22,9,168.85,1519.6499999999999
2023-07-01,59,5,152.23,761.15
2023-07-01,47,8,353.48,2827.84
2023-07-01,17,2,290.58,581.16
2023-07-01,70,5,820.08,4100.400000000001
2023-07-01,7,8,951.34,7610.72
2023-07-01,87,3,128.29,384.87
2023-07-01,12,1,313.23,313.23
2023-07-01,101,6,800.82,4804.92
2023-07-01,25,10,751.81,7518.099999999999
2023-07-01,23,9,555.48,4999.32
2023-07-01,27,5,306.44,1532.2
2023-07-01,80,5,952.98,4764.9
2023-07-01,94,6,434.39,2606.34
2023-07-01,79,4,842.18,3368.72
2023-07-01,55,5,520.75,2603.75
2023-07-01,40,5,679.48,3397.4
2023-07-01,90,3,129.01,387.03
2023-07-01,3,1,201.96,201.96
2023-07-01,33,6,264.73,1588.38
2023-07-01,31,2,893.41,1786.82
2023-07-01,86,5,560.99,2804.95
2023-07-01,104,2,748.03,1496.06
2023-07-01,35,3,166.24,498.72
2023-07-01,97,8,741.22,5929.76
2023-07-01,101,5,800.82,4004.1000000000004
2023-07-01,16,6,399.38,2396.2799999999997
2023-07-01,79,4,842.18,3368.72
2023-07-01,42,4,514.3,2057.2
